link;Country;place;time GMT;desciprion;PTZ;Type of area;Live;
https://www.youtube.com/watch?v=DIMg6hS3w6M;BA;Sarajevo, BA;1;;N;;Y;Sarajevo - Općina Centar
https://www.youtube.com/watch?v=9HwSNgcdQ7k;CA;Alberta, Canada (CA);-7;;N;;Y;Banff Live Cam, Alberta, Canada
https://www.youtube.com/watch?v=TyElel0QjCI;CH;Lausanne (CH);1;;N;;Y;Lausanne, pont Bessières
https://www.youtube.com/watch?v=nMfDlEkqy-k;CH;Zurich (CH);1;;N;;Y;LIVE Zürich Hardbrücke Nord
https://www.youtube.com/watch?v=NiduuFQL_0A;ES;Cadiz (ES);1;;Y;;Y;Cadiz.es --|--|-- Plaza de Sevilla
https://www.youtube.com/watch?v=TMgx8GOuffY;ES;Valencia (ES);1;;N;;Y;EN DIRECTO  24h/365d | VALENCIA | PLAZA AYUNTAMIENTO | by WWW.WOLKAM.COM
https://www.youtube.com/watch?v=JJq3X9Lkjo0;ES;VALENCIA (ES);2;;N;;Y;EN DIRECTO  24h/365d | VALENCIA | PLAZA AYUNTAMIENTO | by WWW.WOLKAM.COM
https://www.youtube.com/watch?v=1pf1qjYpHlY;IT;Chioggia (IT);1;;N;;Y;Chioggia Sottomarina Live Webcam - Live Streaming from Hotel Park Chioggia (Venice) - Live HD
https://www.youtube.com/watch?v=M3CHjkVhq_k;IT;Lignano Sabbiadoro (IT);1;;N;;Y;"Historical city center ""Piazza Fontana"" of Lignano Sabbiadoro (Italy) - LIVE streaming HD Webcam"
https://www.youtube.com/watch?v=Sc2n3RMZFp4;JP;Ginowan (JP);9;;N;;Y;【 🔴 🎥 LIVE 】ライブカメラ 沖縄 宜野湾市 大謝名交差点 “Cloud Live CAM”
https://www.youtube.com/watch?v=esgQu_n6NjM;JP;Hokkaid? (JP);9;;N;;Y;十勝大橋ライブカメラ Live Camera in Tokachi Big Bridge over the Tokachi river, Hokkaido in Japan
https://www.youtube.com/watch?v=yP1dTM0bGPg;JP;Sendai (JP);9;;N;;Y;ミヤギテレビ情報カメラ・仙台マークワン屋上
https://www.youtube.com/watch?v=PmrWwYTlAVQ;JP;SHIBUYA (JP);9;;N;;Y;【LIVE CAMERA】渋谷スクランブル交差点 ライブ映像
https://www.youtube.com/watch?v=hlVEzjqmV4c;JP;Hokkaido (JP);9;;N;;Y;JR帯広駅ライブカメラ Live Camera in The JR Obihiro Station, Hokkaido in Japan
https://www.youtube.com/watch?v=3rBaAfqFGsk;JP;Tokio (JP);9;;N;;Y;渋谷公園通り商店街大外ビル
https://www.youtube.com/watch?v=28IyEpUU09Y;JP;Tokio (JP);9;;N;;Y;渋谷道玄坂ライブカメラ　Shibuya Live Camera
https://www.youtube.com/watch?v=kU5kmE5vR-o;JP;Tokio (JP);9;;N;;Y;渋谷公園通り商店街WEBカメラANDS2
https://www.youtube.com/watch?v=PmrWwYTlAVQ;JP;Tokio (JP);9;;N;;Y;【LIVE CAMERA】渋谷スクランブル交差点 ライブ映像
https://www.youtube.com/watch?v=qfV-0PzIbmA;JP;Tokio (JP);9;;N;;Y;【ガジェット通信】秋葉原ライブカメラ Akiba(Akihabara, Tokyo Japan) live camera
https://www.youtube.com/watch?v=wzRsPhfJqx4;JP;Tokio (JP);9;;N;;Y;公園通り商店街マルイWEBカメラ
https://www.youtube.com/watch?v=nVutZktUxfY;NL;Gelderland (NL);1;;N;;Y;https://webcam.prvgld.nl/ | N825 Lochem live FULL HD PTZ camera
https://www.youtube.com/watch?v=3UKU1y91LLo;NL;Mierlo - Hout (NL);1;;N;;Y;Railcam Mierlo - Hout
